Fit #1
ac8 Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),2.85,0.07
kexAB (s^-1),60,3
R1 (s^-1),1.80,0.14
R2 (s^-1),31.99,0.15
Red. Chi-sq,0.57
