Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),5.19,0.13
kexAB (s^-1),224,8
R1 (s^-1),2.54,0.07
R2 (s^-1),19.95,0.09
Red. Chi-sq,0.44
