Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.89,0.07
kexAB (s^-1),6546,722
R1 (s^-1),3.50,0.09
R2 (s^-1),18.18,0.38
Red. Chi-sq,1.01
