Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.90,0.08
kexAB (s^-1),6546,722
R1 (s^-1),2.96,0.12
R2 (s^-1),12.11,0.51
Red. Chi-sq,1.01
