,norm_intensity,norm_intensity_error,norm_intensity_nocomplex,norm_intensity_nocomplex_error,offset(hz),slp(hz),trelax(s)
0,0.5129217026236695,0.0,0.512921708402872,0.0,-999.9999999999999,9.999019,0.2
1,0.5129146766186002,0.0,0.5129183684774024,0.0,-991.9678714859438,9.999019,0.2
2,0.5129135224220268,0.0,0.5129149461801347,0.0,-983.9357429718875,9.999019,0.2
3,0.5129100837672735,0.0,0.5129114387801377,0.0,-975.9036144578313,9.999019,0.2
4,0.5129039120088132,0.0,0.5129078434323885,0.0,-967.871485943775,9.999019,0.2
5,0.5129041408573844,0.0,0.5129041571720047,0.0,-959.8393574297188,9.999019,0.2
6,0.5128966451155033,0.0,0.5129003769081313,0.0,-951.8072289156627,9.999019,0.2
7,0.5128945181833198,0.0,0.5128964994174843,0.0,-943.7751004016064,9.999019,0.2
8,0.5128914522988723,0.0,0.5128925213374561,0.0,-935.7429718875501,9.999019,0.2
9,0.5128839622739831,0.0,0.5128884391588521,0.0,-927.710843373494,9.999019,0.2
10,0.5128841283377782,0.0,0.5128842492181541,0.0,-919.6787148594377,9.999019,0.2
11,0.5128762491893198,0.0,0.5128799476892931,0.0,-911.6465863453815,9.999019,0.2
12,0.5128728860243692,0.0,0.5128755305749438,0.0,-903.6144578313254,9.999019,0.2
13,0.5128702163287072,0.0,0.51287099369722,0.0,-895.582329317269,9.999019,0.2
14,0.5128613193863338,0.0,0.5128663326878299,0.0,-887.5502008032129,9.999019,0.2
15,0.5128612020940636,0.0,0.5128615429775494,0.0,-879.5180722891566,9.999019,0.2
16,0.5128530327632307,0.0,0.5128566197850458,0.0,-871.4859437751004,9.999019,0.2
17,0.5128481424086845,0.0,0.512851558104952,0.0,-863.4538152610442,9.999019,0.2
18,0.5128458538556646,0.0,0.5128463526951589,0.0,-855.4216867469879,9.999019,0.2
19,0.5128354722829411,0.0,0.5128409980632541,0.0,-847.3895582329317,9.999019,0.2
20,0.5128347891050373,0.0,0.5128354884520547,0.0,-839.3574297188754,9.999019,0.2
21,0.5128264229683785,0.0,0.5128298178241427,0.0,-831.3253012048193,9.999019,0.2
22,0.5128196848473263,0.0,0.5128239798453395,0.0,-823.2931726907631,9.999019,0.2
23,0.5128177111711613,0.0,0.5128179678670601,0.0,-815.2610441767068,9.999019,0.2
24,0.5128057764904647,0.0,0.5128117749073775,0.0,-807.2289156626506,9.999019,0.2
25,0.512804172520197,0.0,0.5128053936307967,0.0,-799.1967871485944,9.999019,0.2
26,0.5127956937607565,0.0,0.5127988163265569,0.0,-791.1646586345382,9.999019,0.2
27,0.5127867537310644,0.0,0.5127920348853613,0.0,-783.132530120482,9.999019,0.2
28,0.5127849615121289,0.0,0.5127850407744268,0.0,-775.1004016064257,9.999019,0.2
29,0.5127714104421105,0.0,0.5127778250106666,0.0,-767.0682730923695,9.999019,0.2
30,0.5127684449164278,0.0,0.5127703781319122,0.0,-759.0361445783133,9.999019,0.2
31,0.5127599156586832,0.0,0.5127626901659086,0.0,-751.004016064257,9.999019,0.2
