Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.62,0.02
kexAB (s^-1),102,1
R1 (s^-1),4.42,0.04
R2 (s^-1),14.06,0.04
Red. Chi-sq,0.59
