Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.75,0.08
kexAB (s^-1),617,26
R1 (s^-1),2.17,0.05
R2 (s^-1),23.96,0.06
Red. Chi-sq,0.13
