Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,3
R1 (s^-1),2.83,0.18
R2 (s^-1),14.96,0.25
Red. Chi-sq,4.92
