Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),20.000,20.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,4
R1 (s^-1),1.22,0.40
R2 (s^-1),28.46,0.75
Red. Chi-sq,2.92
