Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.37,0.17
kexAB (s^-1),359,26
R1 (s^-1),1.23,0.04
R2 (s^-1),21.18,0.05
Red. Chi-sq,0.80
