Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.86,0.34
kexAB (s^-1),359,26
R1 (s^-1),1.34,0.06
R2 (s^-1),30.43,0.08
Red. Chi-sq,0.80
