Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.97,0.12
kexAB (s^-1),5554,446
R1 (s^-1),2.86,0.10
R2 (s^-1),12.01,0.36
Red. Chi-sq,0.70
