Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.90,0.10
kexAB (s^-1),5554,446
R1 (s^-1),3.39,0.08
R2 (s^-1),18.21,0.26
Red. Chi-sq,0.70
