Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.62,0.13
kexAB (s^-1),123,8
R1 (s^-1),1.73,0.09
R2 (s^-1),16.37,0.13
Red. Chi-sq,0.47
