Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.40,0.03
kexAB (s^-1),794,20
R1 (s^-1),4.75,0.10
R2 (s^-1),12.57,0.13
Red. Chi-sq,2.33
