Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),-1.13,0.10
kexAB (s^-1),851,273
R1 (s^-1),1.41,0.07
R2 (s^-1),8.08,0.12
Red. Chi-sq,0.83
