Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.46,0.06
kexAB (s^-1),2160,182
R1 (s^-1),2.42,0.08
R2 (s^-1),26.31,0.20
Red. Chi-sq,0.37
