Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.457,0.028
dwB (ppm),2.95,0.13
kexAB (s^-1),1985,169
R1 (s^-1),2.29,0.08
R2 (s^-1),26.46,0.20
Red. Chi-sq,0.35
