Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.75,0.07
kexAB (s^-1),2530,542
R1 (s^-1),5.52,0.27
R2 (s^-1),12.65,0.64
Red. Chi-sq,35.87
