Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),4.12,4.12
kexAB (s^-1),58638,3165
R1 (s^-1),2.44,0.05
R2 (s^-1),0.01,0.64
Red. Chi-sq,0.29
