Fit #1
g10c1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.62,2.97
kexAB (s^-1),4374,6699
R1 (s^-1),3.75,0.82
R2 (s^-1),24.66,2.58
Red. Chi-sq,15.76
