Fit #1
gc1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.74,0.07
kexAB (s^-1),3859,266
R1 (s^-1),3.31,0.20
R2 (s^-1),11.86,0.65
Red. Chi-sq,1.55
