Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.49,0.06
kexAB (s^-1),3859,266
R1 (s^-1),2.95,0.17
R2 (s^-1),18.56,0.50
Red. Chi-sq,1.55
