Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),-1.90,0.13
kexAB (s^-1),1585,284
R1 (s^-1),2.05,0.02
R2 (s^-1),8.35,0.05
Red. Chi-sq,0.99
