Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),1.14,0.12
kexAB (s^-1),1585,284
R1 (s^-1),1.54,0.07
R2 (s^-1),30.45,0.11
Red. Chi-sq,0.99
