Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),0.82,0.08
kexAB (s^-1),1585,284
R1 (s^-1),1.55,0.04
R2 (s^-1),21.37,0.07
Red. Chi-sq,0.99
