Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.62,0.08
kexAB (s^-1),5567,948
R1 (s^-1),2.26,0.17
R2 (s^-1),16.53,0.74
Red. Chi-sq,1.57
