Fit #1
gc8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.59,0.08
kexAB (s^-1),5567,948
R1 (s^-1),2.48,0.15
R2 (s^-1),25.81,0.78
Red. Chi-sq,1.57
