Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.090,0.090
dwB (ppm),2.66,0.21
kexAB (s^-1),1366,127
R1 (s^-1),2.48,0.04
R2 (s^-1),20.30,0.06
Red. Chi-sq,0.23
