Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.90,0.02
kexAB (s^-1),1755,43
R1 (s^-1),2.00,0.05
R2 (s^-1),20.82,0.09
Red. Chi-sq,0.11
