Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.06,0.05
kexAB (s^-1),1938,261
R1 (s^-1),5.98,0.34
R2 (s^-1),11.21,0.67
Red. Chi-sq,35.16
