Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),1.400,1.400
dwB (ppm),2.62,0.02
kexAB (s^-1),442,4
R1 (s^-1),4.43,0.02
R2 (s^-1),13.79,0.03
Red. Chi-sq,0.26
