Fit #1
G_C1p_Off_reduce_new_trunc Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.12,4.12
kexAB (s^-1),10,1
R1 (s^-1),1.50,0.12
R2 (s^-1),13.74,0.15
Red. Chi-sq,1.33
