Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,1
R1 (s^-1),1.78,0.12
R2 (s^-1),19.93,0.16
Red. Chi-sq,1.33
