Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.85,0.07
kexAB (s^-1),122,7
R1 (s^-1),4.54,0.03
R2 (s^-1),21.02,0.03
Red. Chi-sq,0.37
