Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),0.54,0.07
kexAB (s^-1),3792,758
R1 (s^-1),2.56,0.04
R2 (s^-1),20.19,0.13
Red. Chi-sq,0.40
