Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),0.57,0.07
kexAB (s^-1),3792,758
R1 (s^-1),2.27,0.04
R2 (s^-1),13.98,0.12
Red. Chi-sq,0.40
