Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.27,4.27
kexAB (s^-1),242,27
R1 (s^-1),2.56,0.04
R2 (s^-1),16.73,0.06
Red. Chi-sq,0.27
