Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.409,0.205
dwB (ppm),1.88,0.08
kexAB (s^-1),359,207
R1 (s^-1),4.53,0.03
R2 (s^-1),20.97,0.04
Red. Chi-sq,0.40
