Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),1.86,0.05
kexAB (s^-1),4282,216
R1 (s^-1),2.17,0.06
R2 (s^-1),19.35,0.21
Red. Chi-sq,0.25
