Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),1.60,0.06
kexAB (s^-1),4282,216
R1 (s^-1),2.44,0.09
R2 (s^-1),29.76,0.23
Red. Chi-sq,0.25
