Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.34,0.16
kexAB (s^-1),321,27
R1 (s^-1),2.46,0.14
R2 (s^-1),25.85,0.20
Red. Chi-sq,0.98
