Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.36,0.01
kexAB (s^-1),10,2
R1 (s^-1),4.46,0.10
R2 (s^-1),20.70,0.11
Red. Chi-sq,4.43
