Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.64,0.40
kexAB (s^-1),304,65
R1 (s^-1),1.48,0.09
R2 (s^-1),15.10,0.12
Red. Chi-sq,0.32
