Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),1.84,0.01
kexAB (s^-1),5,3
R1 (s^-1),1.86,0.15
R2 (s^-1),35.18,0.21
Red. Chi-sq,7.07
