Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),4.44,0.41
kexAB (s^-1),3038,645
R1 (s^-1),2.44,0.75
R2 (s^-1),28.82,1.59
Red. Chi-sq,2.88
