Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),3.60,0.07
kexAB (s^-1),429,10
R1 (s^-1),1.13,0.07
R2 (s^-1),18.30,0.09
Red. Chi-sq,0.22
