Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.30,0.23
kexAB (s^-1),380,25
R1 (s^-1),2.43,0.04
R2 (s^-1),20.37,0.05
Red. Chi-sq,0.26
