Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),-1.08,0.07
kexAB (s^-1),1494,253
R1 (s^-1),2.07,0.02
R2 (s^-1),8.34,0.05
Red. Chi-sq,0.99
