Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),0.40,0.04
kexAB (s^-1),1494,253
R1 (s^-1),1.55,0.04
R2 (s^-1),21.44,0.07
Red. Chi-sq,0.99
