Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.527,0.021
dwB (ppm),3.13,0.10
kexAB (s^-1),2568,176
R1 (s^-1),1.11,0.11
R2 (s^-1),20.48,0.24
Red. Chi-sq,0.20
