Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),-0.49,0.03
kexAB (s^-1),207,25
R1 (s^-1),1.47,0.03
R2 (s^-1),8.00,0.03
Red. Chi-sq,0.15
