Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.65,0.16
kexAB (s^-1),165,16
R1 (s^-1),1.65,0.07
R2 (s^-1),14.64,0.08
Red. Chi-sq,0.23
