Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),5.72,1.54
kexAB (s^-1),3742,2350
R1 (s^-1),3.28,1.08
R2 (s^-1),32.29,2.58
Red. Chi-sq,5.78
