Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),7.15,10.03
kexAB (s^-1),4350,18583
R1 (s^-1),2.43,0.22
R2 (s^-1),23.28,0.67
Red. Chi-sq,1.93
