Fit #1
G_C1p_Off_reduce_new_trunc Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),4.12,4.12
kexAB (s^-1),2592,4154
R1 (s^-1),2.32,0.06
R2 (s^-1),14.66,0.11
Red. Chi-sq,0.34
