Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.503,0.014
dwB (ppm),2.72,0.06
kexAB (s^-1),2909,117
R1 (s^-1),1.48,0.08
R2 (s^-1),27.86,0.16
Red. Chi-sq,0.11
