Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.503,0.014
dwB (ppm),3.29,0.07
kexAB (s^-1),2909,117
R1 (s^-1),1.41,0.07
R2 (s^-1),18.17,0.16
Red. Chi-sq,0.11
