Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),1.91,0.06
kexAB (s^-1),2623,212
R1 (s^-1),2.49,0.06
R2 (s^-1),23.12,0.14
Red. Chi-sq,0.22
