Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.12,0.06
kexAB (s^-1),2009,161
R1 (s^-1),2.41,0.06
R2 (s^-1),23.32,0.11
Red. Chi-sq,0.18
