Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.33,0.06
kexAB (s^-1),2009,161
R1 (s^-1),2.02,0.07
R2 (s^-1),16.11,0.13
Red. Chi-sq,0.18
