Fit #1
ac1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.12,0.07
kexAB (s^-1),5754,495
R1 (s^-1),2.22,0.16
R2 (s^-1),15.78,0.74
Red. Chi-sq,0.84
