Fit #1
ac8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.02,0.07
kexAB (s^-1),5754,495
R1 (s^-1),2.05,0.19
R2 (s^-1),25.53,0.73
Red. Chi-sq,0.84
