Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),2.98,0.05
kexAB (s^-1),2524,132
R1 (s^-1),1.13,0.09
R2 (s^-1),20.62,0.19
Red. Chi-sq,0.18
